t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.000035,0.001032,0.000410,-0.000623,0.058642,0.031312,0.997786,0.001854,0.063179,-0.117177,3.134169
0.004272,0.001062,0.000417,-0.000643,0.058645,0.031307,0.997786,0.001858,0.063169,-0.117182,3.134162
0.011535,0.001098,0.000425,-0.000671,0.058651,0.031299,0.997786,0.001859,0.063153,-0.117194,3.134160
0.019099,0.001124,0.000432,-0.000697,0.058646,0.031301,0.997786,0.001858,0.063156,-0.117185,3.134162
0.026212,0.001154,0.000439,-0.000730,0.058639,0.031302,0.997787,0.001858,0.063157,-0.117170,3.134163
0.035032,0.000918,0.000358,-0.000617,0.058643,0.031306,0.997786,0.001856,0.063167,-0.117179,3.134166
0.060809,0.000934,0.000354,-0.000652,0.058648,0.031305,0.997786,0.001859,0.063164,-0.117188,3.134160
0.072305,0.000968,0.000346,-0.000723,0.058648,0.031300,0.997786,0.001868,0.063155,-0.117188,3.134143
0.077650,0.000988,0.000342,-0.000764,0.058647,0.031298,0.997786,0.001868,0.063152,-0.117185,3.134142
0.086602,0.001007,0.000338,-0.000798,0.058650,0.031301,0.997786,0.001868,0.063156,-0.117192,3.134142
0.099151,0.000938,0.000351,-0.000587,0.058675,0.031312,0.997784,0.001863,0.063180,-0.117242,3.134149
0.115465,0.000962,0.000348,-0.000613,0.058674,0.031307,0.997784,0.001860,0.063170,-0.117239,3.134157
0.132116,0.001014,0.000345,-0.000672,0.058673,0.031299,0.997785,0.001850,0.063152,-0.117239,3.134176
0.134321,0.001035,0.000344,-0.000697,0.058677,0.031300,0.997784,0.001848,0.063154,-0.117247,3.134180
0.152572,0.001056,0.000340,-0.000728,0.058678,0.031303,0.997784,0.001846,0.063159,-0.117249,3.134185
0.170303,0.000866,0.000365,-0.000561,0.058670,0.031306,0.997785,0.001830,0.063163,-0.117234,3.134218
0.216788,0.000885,0.000371,-0.000627,0.058677,0.031292,0.997785,0.001822,0.063135,-0.117249,3.134234
0.221003,0.000898,0.000382,-0.000669,0.058679,0.031289,0.997785,0.001820,0.063127,-0.117253,3.134239
0.224404,0.000906,0.000391,-0.000693,0.058686,0.031288,0.997784,0.001828,0.063126,-0.117266,3.134222
0.236633,0.000915,0.000393,-0.000572,0.058674,0.031304,0.997785,0.001853,0.063162,-0.117240,3.134170
0.280367,0.000956,0.000402,-0.000614,0.058675,0.031300,0.997785,0.001848,0.063154,-0.117243,3.134182
0.280486,0.000982,0.000408,-0.000635,0.058683,0.031292,0.997784,0.001845,0.063137,-0.117260,3.134188
0.280594,0.001005,0.000414,-0.000649,0.058686,0.031284,0.997784,0.001849,0.063122,-0.117265,3.134180
0.290386,0.001031,0.000422,-0.000665,0.058686,0.031281,0.997785,0.001852,0.063115,-0.117264,3.134175
0.300284,0.001050,0.000427,-0.000677,0.058686,0.031277,0.997785,0.001849,0.063108,-0.117265,3.134180
0.307202,0.000934,0.000359,-0.000534,0.058677,0.031285,0.997785,0.001836,0.063123,-0.117247,3.134206
0.319707,0.000953,0.000356,-0.000545,0.058679,0.031283,0.997785,0.001834,0.063117,-0.117252,3.134210
0.325241,0.000975,0.000353,-0.000561,0.058681,0.031275,0.997785,0.001835,0.063101,-0.117256,3.134209
0.337246,0.000990,0.000350,-0.000576,0.058678,0.031270,0.997785,0.001837,0.063091,-0.117250,3.134206
0.352578,0.001007,0.000346,-0.000595,0.058670,0.031271,0.997786,0.001842,0.063095,-0.117234,3.134197
0.362909,0.000870,0.000359,-0.000572,0.058654,0.031300,0.997786,0.001855,0.063154,-0.117199,3.134168
0.378956,0.000881,0.000358,-0.000597,0.058657,0.031300,0.997786,0.001856,0.063155,-0.117206,3.134165
0.409697,0.000903,0.000361,-0.000634,0.058661,0.031307,0.997785,0.001862,0.063169,-0.117213,3.134154
0.409886,0.000913,0.000363,-0.000648,0.058663,0.031306,0.997785,0.001864,0.063166,-0.117217,3.134149
0.417239,0.000926,0.000365,-0.000664,0.058665,0.031310,0.997785,0.001864,0.063175,-0.117221,3.134149
0.427009,0.000937,0.000367,-0.000678,0.058666,0.031313,0.997785,0.001862,0.063180,-0.117224,3.134152
0.433445,0.000906,0.000374,-0.000522,0.058674,0.031332,0.997784,0.001851,0.063218,-0.117240,3.134171
0.462615,0.000920,0.000377,-0.000536,0.058675,0.031334,0.997784,0.001851,0.063222,-0.117243,3.134171
0.469596,0.000957,0.000387,-0.000570,0.058690,0.031341,0.997782,0.001858,0.063237,-0.117271,3.134154
0.477304,0.000974,0.000393,-0.000585,0.058693,0.031340,0.997782,0.001859,0.063235,-0.117278,3.134152
0.484499,0.000996,0.000401,-0.000603,0.058684,0.031337,0.997783,0.001862,0.063230,-0.117259,3.134148
0.500034,0.000899,0.000372,-0.000537,0.058668,0.031323,0.997784,0.001864,0.063202,-0.117227,3.134147
0.513458,0.000927,0.000378,-0.000561,0.058674,0.031320,0.997784,0.001868,0.063196,-0.117240,3.134139
0.560567,0.001066,0.000408,-0.000634,0.058684,0.031317,0.997783,0.001879,0.063192,-0.117258,3.134115
0.567087,0.000910,0.000375,-0.000506,0.058673,0.031323,0.997784,0.001857,0.063200,-0.117238,3.134161
0.567154,0.000944,0.000377,-0.000519,0.058675,0.031327,0.997784,0.001851,0.063208,-0.117243,3.134172
0.574798,0.000985,0.000379,-0.000534,0.058677,0.031330,0.997784,0.001848,0.063213,-0.117246,3.134177
0.585291,0.001018,0.000381,-0.000547,0.058683,0.031331,0.997783,0.001850,0.063216,-0.117258,3.134173
0.606315,0.001061,0.000385,-0.000564,0.058689,0.031336,0.997783,0.001853,0.063226,-0.117270,3.134166
0.612328,0.001098,0.000388,-0.000580,0.058686,0.031337,0.997783,0.001857,0.063230,-0.117264,3.134157
0.620831,0.001139,0.000393,-0.000602,0.058682,0.031331,0.997783,0.001863,0.063217,-0.117255,3.134147
0.622813,0.001169,0.000396,-0.000622,0.058683,0.031325,0.997783,0.001870,0.063207,-0.117257,3.134133
0.634167,0.001208,0.000398,-0.000647,0.058688,0.031326,0.997783,0.001879,0.063209,-0.117268,3.134114
0.650179,0.000913,0.000364,-0.000593,0.058672,0.031317,0.997784,0.001880,0.063191,-0.117235,3.134115
0.659774,0.000932,0.000362,-0.000625,0.058671,0.031319,0.997784,0.001877,0.063194,-0.117233,3.134120
0.673316,0.000943,0.000360,-0.000651,0.058669,0.031320,0.997784,0.001876,0.063197,-0.117229,3.134122
0.676496,0.000957,0.000356,-0.000682,0.058664,0.031321,0.997785,0.001877,0.063199,-0.117218,3.134120
0.693583,0.000971,0.000352,-0.000705,0.058661,0.031321,0.997785,0.001875,0.063198,-0.117213,3.134125
0.696924,0.000992,0.000349,-0.000732,0.058667,0.031319,0.997784,0.001874,0.063194,-0.117225,3.134127
0.710467,0.001010,0.000345,-0.000754,0.058669,0.031315,0.997784,0.001873,0.063187,-0.117228,3.134129
0.716067,0.000895,0.000347,-0.000543,0.058651,0.031319,0.997785,0.001836,0.063190,-0.117195,3.134204
0.724573,0.000911,0.000341,-0.000559,0.058650,0.031320,0.997785,0.001836,0.063193,-0.117193,3.134204
0.742315,0.000931,0.000334,-0.000577,0.058657,0.031316,0.997785,0.001834,0.063183,-0.117206,3.134207
0.756922,0.000947,0.000329,-0.000592,0.058662,0.031310,0.997785,0.001832,0.063171,-0.117219,3.134212
0.761378,0.000967,0.000321,-0.000612,0.058659,0.031299,0.997786,0.001829,0.063148,-0.117213,3.134220
0.764863,0.000983,0.000316,-0.000629,0.058657,0.031294,0.997786,0.001823,0.063139,-0.117209,3.134232
0.775986,0.001005,0.000311,-0.000647,0.058662,0.031298,0.997785,0.001819,0.063147,-0.117219,3.134241
0.783395,0.000911,0.000366,-0.000559,0.058674,0.031301,0.997785,0.001825,0.063152,-0.117242,3.134226
0.816453,0.000978,0.000387,-0.000595,0.058678,0.031305,0.997784,0.001817,0.063161,-0.117251,3.134243
0.829365,0.001005,0.000399,-0.000602,0.058680,0.031301,0.997784,0.001817,0.063153,-0.117255,3.134243
0.833858,0.000884,0.000384,-0.000498,0.058669,0.031316,0.997784,0.001841,0.063184,-0.117231,3.134194
0.857458,0.000906,0.000392,-0.000508,0.058675,0.031315,0.997784,0.001835,0.063182,-0.117244,3.134205
0.867270,0.000939,0.000402,-0.000531,0.058679,0.031310,0.997784,0.001822,0.063171,-0.117252,3.134232
0.877033,0.000957,0.000408,-0.000550,0.058676,0.031308,0.997784,0.001824,0.063168,-0.117247,3.134227
0.885289,0.000973,0.000413,-0.000568,0.058676,0.031307,0.997784,0.001828,0.063165,-0.117247,3.134221
0.903233,0.000990,0.000420,-0.000590,0.058679,0.031303,0.997784,0.001829,0.063157,-0.117252,3.134219
0.906533,0.001002,0.000425,-0.000608,0.058679,0.031303,0.997784,0.001827,0.063158,-0.117251,3.134223
0.912359,0.001017,0.000430,-0.000632,0.058678,0.031305,0.997784,0.001822,0.063161,-0.117250,3.134231
0.927190,0.000896,0.000357,-0.000624,0.058662,0.031308,0.997785,0.001842,0.063169,-0.117218,3.134192
0.941350,0.000915,0.000353,-0.000661,0.058667,0.031308,0.997785,0.001840,0.063169,-0.117227,3.134197
0.966350,0.000931,0.000349,-0.000692,0.058665,0.031308,0.997785,0.001838,0.063169,-0.117223,3.134200
0.970806,0.000947,0.000344,-0.000731,0.058658,0.031303,0.997786,0.001830,0.063158,-0.117209,3.134218
0.970834,0.000961,0.000342,-0.000764,0.058658,0.031305,0.997785,0.001821,0.063161,-0.117211,3.134235
0.976883,0.000981,0.000341,-0.000804,0.058663,0.031309,0.997785,0.001823,0.063168,-0.117220,3.134230
0.987043,0.000998,0.000343,-0.000838,0.058661,0.031305,0.997785,0.001826,0.063160,-0.117216,3.134225
1.009104,0.000910,0.000366,-0.000585,0.058650,0.031311,0.997786,0.001831,0.063174,-0.117194,3.134216
1.015695,0.000925,0.000370,-0.000606,0.058646,0.031312,0.997786,0.001831,0.063174,-0.117186,3.134215
1.024153,0.000947,0.000376,-0.000633,0.058649,0.031317,0.997786,0.001834,0.063186,-0.117191,3.134209
1.028730,0.000968,0.000382,-0.000657,0.058653,0.031321,0.997785,0.001835,0.063194,-0.117198,3.134206
1.038126,0.000993,0.000392,-0.000689,0.058651,0.031322,0.997785,0.001835,0.063195,-0.117196,3.134205
1.051427,0.000903,0.000374,-0.000551,0.058655,0.031332,0.997785,0.001850,0.063217,-0.117202,3.134173
1.058812,0.000925,0.000376,-0.000586,0.058653,0.031332,0.997785,0.001851,0.063217,-0.117198,3.134173
1.062505,0.000945,0.000378,-0.000615,0.058652,0.031326,0.997785,0.001852,0.063206,-0.117197,3.134172
1.080311,0.000969,0.000381,-0.000652,0.058656,0.031318,0.997785,0.001857,0.063191,-0.117205,3.134162
1.090716,0.000987,0.000385,-0.000683,0.058658,0.031311,0.997785,0.001867,0.063178,-0.117208,3.134142
1.101201,0.001008,0.000390,-0.000718,0.058659,0.031307,0.997785,0.001872,0.063171,-0.117209,3.134134
1.109263,0.001028,0.000393,-0.000745,0.058662,0.031307,0.997785,0.001871,0.063171,-0.117216,3.134135
1.117566,0.001056,0.000396,-0.000777,0.058661,0.031303,0.997785,0.001867,0.063161,-0.117214,3.134142
1.125723,0.000896,0.000363,-0.000540,0.058666,0.031292,0.997785,0.001855,0.063137,-0.117224,3.134168
1.136525,0.000919,0.000360,-0.000554,0.058664,0.031294,0.997785,0.001847,0.063141,-0.117220,3.134184
1.163466,0.000937,0.000357,-0.000564,0.058663,0.031302,0.997785,0.001843,0.063157,-0.117219,3.134191
1.169130,0.000960,0.000354,-0.000576,0.058664,0.031308,0.997785,0.001839,0.063168,-0.117221,3.134198
1.177074,0.000998,0.000350,-0.000595,0.058665,0.031305,0.997785,0.001838,0.063163,-0.117223,3.134200
1.187792,0.000877,0.000362,-0.000531,0.058662,0.031338,0.997784,0.001839,0.063228,-0.117218,3.134195
1.205962,0.000889,0.000361,-0.000550,0.058667,0.031342,0.997784,0.001842,0.063237,-0.117228,3.134188
1.210998,0.000904,0.000362,-0.000573,0.058672,0.031344,0.997783,0.001842,0.063241,-0.117238,3.134188
1.227733,0.000916,0.000362,-0.000593,0.058670,0.031341,0.997784,0.001842,0.063235,-0.117233,3.134189
1.237022,0.000939,0.000359,-0.000642,0.058664,0.031333,0.997784,0.001837,0.063219,-0.117222,3.134200
1.253268,0.000948,0.000357,-0.000664,0.058670,0.031331,0.997784,0.001834,0.063213,-0.117234,3.134206
1.260653,0.000867,0.000353,-0.000550,0.058669,0.031305,0.997785,0.001837,0.063161,-0.117232,3.134203
1.275213,0.000895,0.000347,-0.000599,0.058673,0.031300,0.997785,0.001836,0.063152,-0.117240,3.134206
1.288801,0.000914,0.000343,-0.000627,0.058673,0.031297,0.997785,0.001832,0.063145,-0.117240,3.134213
1.302500,0.000931,0.000341,-0.000648,0.058673,0.031291,0.997785,0.001829,0.063133,-0.117241,3.134220
1.314226,0.000953,0.000339,-0.000675,0.058671,0.031282,0.997785,0.001828,0.063115,-0.117237,3.134224
1.322680,0.000905,0.000370,-0.000533,0.058661,0.031293,0.997786,0.001834,0.063137,-0.117215,3.134210
1.335053,0.000930,0.000373,-0.000556,0.058663,0.031292,0.997786,0.001833,0.063136,-0.117219,3.134213
1.366634,0.000952,0.000377,-0.000576,0.058666,0.031296,0.997785,0.001832,0.063144,-0.117226,3.134214
1.367606,0.000983,0.000382,-0.000600,0.058674,0.031295,0.997785,0.001836,0.063142,-0.117242,3.134206
1.367803,0.001008,0.000387,-0.000618,0.058677,0.031286,0.997785,0.001843,0.063126,-0.117247,3.134192
1.379171,0.001037,0.000394,-0.000639,0.058676,0.031283,0.997785,0.001849,0.063118,-0.117246,3.134180
1.388445,0.001059,0.000399,-0.000656,0.058677,0.031282,0.997785,0.001851,0.063118,-0.117246,3.134177
1.396518,0.000897,0.000374,-0.000529,0.058676,0.031309,0.997784,0.001864,0.063173,-0.117244,3.134147
1.409625,0.000912,0.000376,-0.000545,0.058678,0.031305,0.997784,0.001866,0.063166,-0.117247,3.134145
1.414052,0.000927,0.000380,-0.000565,0.058680,0.031300,0.997784,0.001871,0.063157,-0.117251,3.134134
1.427489,0.000937,0.000383,-0.000581,0.058682,0.031301,0.997784,0.001874,0.063159,-0.117254,3.134129
1.440701,0.000952,0.000388,-0.000599,0.058689,0.031302,0.997784,0.001877,0.063161,-0.117268,3.134121
1.453940,0.000965,0.000392,-0.000612,0.058693,0.031302,0.997783,0.001880,0.063161,-0.117277,3.134115
1.465679,0.000883,0.000364,-0.000533,0.058660,0.031310,0.997785,0.001854,0.063175,-0.117213,3.134169
1.476777,0.000894,0.000363,-0.000549,0.058659,0.031306,0.997785,0.001850,0.063166,-0.117211,3.134177
1.492689,0.000910,0.000360,-0.000567,0.058668,0.031298,0.997785,0.001856,0.063150,-0.117228,3.134165
1.504476,0.000923,0.000357,-0.000582,0.058667,0.031294,0.997785,0.001863,0.063142,-0.117226,3.134151
1.512352,0.000935,0.000353,-0.000598,0.058661,0.031296,0.997786,0.001862,0.063146,-0.117214,3.134154
1.518777,0.000942,0.000350,-0.000613,0.058658,0.031296,0.997786,0.001863,0.063146,-0.117207,3.134152
1.525891,0.000860,0.000355,-0.000524,0.058654,0.031304,0.997786,0.001861,0.063162,-0.117200,3.134155
1.535620,0.000874,0.000353,-0.000546,0.058658,0.031300,0.997786,0.001860,0.063154,-0.117208,3.134159
1.559130,0.000891,0.000350,-0.000571,0.058663,0.031300,0.997785,0.001857,0.063155,-0.117218,3.134164
1.567863,0.000902,0.000346,-0.000591,0.058664,0.031300,0.997785,0.001854,0.063153,-0.117221,3.134169
1.575022,0.000917,0.000341,-0.000618,0.058665,0.031296,0.997785,0.001852,0.063146,-0.117223,3.134174
1.588778,0.000933,0.000339,-0.000640,0.058667,0.031290,0.997785,0.001852,0.063134,-0.117226,3.134175
1.590397,0.000955,0.000339,-0.000665,0.058677,0.031285,0.997785,0.001849,0.063124,-0.117246,3.134180
1.599348,0.000973,0.000338,-0.000685,0.058680,0.031287,0.997785,0.001844,0.063127,-0.117254,3.134191
1.616976,0.000940,0.000369,-0.000577,0.058678,0.031302,0.997784,0.001832,0.063156,-0.117249,3.134212
1.636729,0.000961,0.000368,-0.000597,0.058683,0.031301,0.997784,0.001834,0.063154,-0.117259,3.134208
1.638637,0.000987,0.000368,-0.000622,0.058689,0.031305,0.997784,0.001832,0.063162,-0.117271,3.134211
1.652725,0.001007,0.000369,-0.000643,0.058691,0.031303,0.997784,0.001833,0.063159,-0.117276,3.134209
1.682693,0.001060,0.000370,-0.000687,0.058696,0.031298,0.997783,0.001833,0.063148,-0.117285,3.134211
1.688336,0.000903,0.000369,-0.000550,0.058676,0.031319,0.997784,0.001845,0.063191,-0.117244,3.134184
1.702972,0.000925,0.000371,-0.000574,0.058669,0.031326,0.997784,0.001848,0.063205,-0.117230,3.134178
1.705703,0.000941,0.000372,-0.000595,0.058667,0.031330,0.997784,0.001852,0.063215,-0.117226,3.134170
1.705849,0.000960,0.000373,-0.000623,0.058669,0.031334,0.997784,0.001855,0.063223,-0.117231,3.134163
1.725562,0.000979,0.000375,-0.000646,0.058670,0.031338,0.997784,0.001858,0.063231,-0.117231,3.134156
1.739720,0.001026,0.000383,-0.000703,0.058658,0.031337,0.997784,0.001863,0.063229,-0.117207,3.134147
1.773364,0.001047,0.000386,-0.000727,0.058655,0.031333,0.997785,0.001861,0.063221,-0.117201,3.134151
1.781407,0.000957,0.000362,-0.000622,0.058646,0.031333,0.997785,0.001861,0.063221,-0.117183,3.134153
1.782414,0.000979,0.000360,-0.000646,0.058648,0.031335,0.997785,0.001865,0.063226,-0.117188,3.134144
1.798575,0.001004,0.000357,-0.000676,0.058651,0.031333,0.997785,0.001872,0.063223,-0.117193,3.134130
1.810292,0.001022,0.000355,-0.000700,0.058654,0.031331,0.997785,0.001871,0.063218,-0.117198,3.134132
1.811281,0.001044,0.000353,-0.000728,0.058653,0.031335,0.997785,0.001866,0.063225,-0.117198,3.134142
1.824988,0.001063,0.000352,-0.000750,0.058655,0.031343,0.997784,0.001864,0.063241,-0.117201,3.134145
1.831439,0.000903,0.000348,-0.000579,0.058676,0.031335,0.997783,0.001847,0.063223,-0.117244,3.134178
1.840345,0.000917,0.000347,-0.000596,0.058672,0.031331,0.997784,0.001841,0.063215,-0.117237,3.134192
1.857580,0.000930,0.000345,-0.000617,0.058664,0.031334,0.997784,0.001836,0.063221,-0.117221,3.134201
1.887461,0.000957,0.000344,-0.000656,0.058664,0.031337,0.997784,0.001833,0.063227,-0.117220,3.134207
1.893921,0.000869,0.000363,-0.000540,0.058652,0.031320,0.997785,0.001826,0.063192,-0.117199,3.134223
1.894002,0.000886,0.000365,-0.000560,0.058655,0.031325,0.997785,0.001821,0.063200,-0.117205,3.134234
1.909670,0.000906,0.000369,-0.000584,0.058656,0.031331,0.997785,0.001815,0.063211,-0.117207,3.134245
1.923108,0.000936,0.000379,-0.000629,0.058646,0.031333,0.997785,0.001809,0.063215,-0.117187,3.134256
1.950132,0.000949,0.000384,-0.000658,0.058643,0.031334,0.997786,0.001805,0.063216,-0.117181,3.134265
1.957624,0.000970,0.000398,-0.000715,0.058642,0.031341,0.997785,0.001797,0.063228,-0.117180,3.134281
1.963818,0.000867,0.000372,-0.000600,0.058648,0.031333,0.997785,0.001828,0.063218,-0.117190,3.134219
1.975118,0.000878,0.000378,-0.000631,0.058650,0.031335,0.997785,0.001831,0.063222,-0.117193,3.134213
1.989967,0.000891,0.000391,-0.000705,0.058650,0.031350,0.997785,0.001839,0.063252,-0.117193,3.134194
2.002327,0.000894,0.000396,-0.000737,0.058653,0.031353,0.997784,0.001839,0.063259,-0.117199,3.134194
2.006289,0.000899,0.000402,-0.000779,0.058653,0.031354,0.997784,0.001831,0.063260,-0.117198,3.134209
2.026825,0.000901,0.000407,-0.000816,0.058650,0.031353,0.997784,0.001833,0.063257,-0.117193,3.134207
2.045716,0.000858,0.000355,-0.000607,0.058662,0.031326,0.997785,0.001859,0.063207,-0.117216,3.134156
2.065570,0.000865,0.000355,-0.000633,0.058667,0.031323,0.997784,0.001856,0.063200,-0.117227,3.134163
2.069406,0.000889,0.000354,-0.000700,0.058673,0.031327,0.997784,0.001858,0.063208,-0.117237,3.134158
2.075894,0.000902,0.000353,-0.000734,0.058667,0.031329,0.997784,0.001865,0.063214,-0.117226,3.134143
2.085933,0.000928,0.000360,-0.000563,0.058662,0.031319,0.997785,0.001858,0.063192,-0.117216,3.134159
2.107483,0.000955,0.000361,-0.000595,0.058662,0.031317,0.997785,0.001857,0.063189,-0.117216,3.134162
2.112267,0.000986,0.000363,-0.000635,0.058661,0.031323,0.997785,0.001856,0.063201,-0.117214,3.134164
2.115026,0.001011,0.000365,-0.000671,0.058660,0.031331,0.997785,0.001855,0.063216,-0.117212,3.134165
2.128139,0.001043,0.000370,-0.000716,0.058661,0.031330,0.997785,0.001852,0.063214,-0.117214,3.134170
2.137655,0.001071,0.000375,-0.000756,0.058662,0.031328,0.997785,0.001851,0.063211,-0.117215,3.134173
2.156563,0.001106,0.000382,-0.000807,0.058661,0.031331,0.997784,0.001849,0.063216,-0.117214,3.134176
2.161659,0.000898,0.000373,-0.000570,0.058658,0.031332,0.997785,0.001841,0.063218,-0.117209,3.134192
2.163868,0.000922,0.000377,-0.000605,0.058661,0.031328,0.997785,0.001840,0.063209,-0.117215,3.134194
2.178064,0.000942,0.000380,-0.000632,0.058666,0.031323,0.997784,0.001838,0.063199,-0.117226,3.134199
2.191392,0.000968,0.000382,-0.000665,0.058670,0.031319,0.997784,0.001838,0.063190,-0.117234,3.134200
2.204390,0.000989,0.000381,-0.000690,0.058672,0.031318,0.997784,0.001837,0.063189,-0.117237,3.134200
2.206538,0.001013,0.000380,-0.000719,0.058668,0.031318,0.997784,0.001836,0.063189,-0.117230,3.134204
2.214692,0.001035,0.000377,-0.000742,0.058664,0.031320,0.997785,0.001833,0.063191,-0.117221,3.134209
2.227263,0.000896,0.000333,-0.000516,0.058660,0.031312,0.997785,0.001836,0.063175,-0.117213,3.134205
2.237892,0.000917,0.000325,-0.000530,0.058660,0.031310,0.997785,0.001840,0.063171,-0.117214,3.134198
2.260828,0.000944,0.000314,-0.000548,0.058664,0.031312,0.997785,0.001846,0.063176,-0.117220,3.134185
2.268511,0.000991,0.000290,-0.000584,0.058663,0.031320,0.997785,0.001851,0.063194,-0.117218,3.134173
2.275908,0.001016,0.000273,-0.000607,0.058661,0.031324,0.997785,0.001852,0.063201,-0.117213,3.134171
2.284854,0.001035,0.000258,-0.000627,0.058662,0.031321,0.997785,0.001850,0.063195,-0.117217,3.134175
2.299837,0.000879,0.000330,-0.000568,0.058663,0.031322,0.997785,0.001857,0.063199,-0.117218,3.134160
2.304805,0.000886,0.000321,-0.000592,0.058663,0.031318,0.997785,0.001858,0.063190,-0.117217,3.134159
2.323503,0.000893,0.000310,-0.000620,0.058661,0.031314,0.997785,0.001858,0.063183,-0.117214,3.134160
2.334390,0.000899,0.000303,-0.000642,0.058662,0.031314,0.997785,0.001861,0.063184,-0.117216,3.134154
2.339757,0.000908,0.000297,-0.000669,0.058669,0.031313,0.997785,0.001868,0.063182,-0.117229,3.134139
2.353747,0.000914,0.000292,-0.000691,0.058666,0.031312,0.997785,0.001875,0.063180,-0.117223,3.134127
2.359150,0.000877,0.000376,-0.000517,0.058654,0.031316,0.997785,0.001863,0.063187,-0.117199,3.134151
2.372276,0.000892,0.000377,-0.000533,0.058652,0.031317,0.997785,0.001858,0.063188,-0.117197,3.134160
2.391169,0.000928,0.000381,-0.000578,0.058662,0.031321,0.997785,0.001846,0.063196,-0.117217,3.134182
2.406414,0.000943,0.000385,-0.000599,0.058663,0.031324,0.997785,0.001844,0.063201,-0.117219,3.134187
2.408525,0.000958,0.000390,-0.000626,0.058660,0.031322,0.997785,0.001843,0.063196,-0.117212,3.134190
2.421035,0.000972,0.000394,-0.000648,0.058658,0.031320,0.997785,0.001840,0.063192,-0.117210,3.134195
2.434542,0.000875,0.000376,-0.000561,0.058659,0.031321,0.997785,0.001834,0.063193,-0.117211,3.134208
2.464055,0.000890,0.000381,-0.000581,0.058656,0.031319,0.997785,0.001840,0.063190,-0.117205,3.134196
2.477193,0.000923,0.000392,-0.000631,0.058666,0.031311,0.997785,0.001852,0.063176,-0.117224,3.134173
2.481033,0.000939,0.000396,-0.000653,0.058673,0.031308,0.997784,0.001852,0.063170,-0.117238,3.134172
2.485364,0.000956,0.000401,-0.000678,0.058673,0.031306,0.997785,0.001851,0.063167,-0.117239,3.134173
2.501852,0.000969,0.000404,-0.000698,0.058673,0.031302,0.997785,0.001850,0.063158,-0.117238,3.134176
2.507777,0.000906,0.000352,-0.000553,0.058680,0.031299,0.997784,0.001856,0.063153,-0.117251,3.134165
2.514223,0.000928,0.000351,-0.000573,0.058685,0.031299,0.997784,0.001854,0.063151,-0.117262,3.134169
2.532305,0.000954,0.000350,-0.000596,0.058690,0.031298,0.997784,0.001852,0.063150,-0.117272,3.134172
2.539755,0.000972,0.000349,-0.000615,0.058688,0.031298,0.997784,0.001852,0.063151,-0.117268,3.134172
2.553918,0.000995,0.000346,-0.000638,0.058686,0.031298,0.997784,0.001853,0.063150,-0.117265,3.134171
2.566836,0.001031,0.000339,-0.000671,0.058683,0.031294,0.997784,0.001857,0.063142,-0.117259,3.134164
2.577425,0.000874,0.000348,-0.000535,0.058663,0.031308,0.997785,0.001849,0.063170,-0.117218,3.134179
2.595522,0.000884,0.000342,-0.000550,0.058670,0.031303,0.997785,0.001847,0.063160,-0.117233,3.134182
2.604365,0.000899,0.000335,-0.000567,0.058674,0.031301,0.997785,0.001846,0.063154,-0.117241,3.134185
2.607548,0.000912,0.000328,-0.000582,0.058674,0.031299,0.997785,0.001840,0.063151,-0.117241,3.134196
2.619442,0.000929,0.000321,-0.000601,0.058669,0.031299,0.997785,0.001834,0.063150,-0.117231,3.134209
2.625021,0.000942,0.000315,-0.000617,0.058664,0.031294,0.997786,0.001831,0.063139,-0.117221,3.134216
2.634362,0.000894,0.000361,-0.000537,0.058654,0.031306,0.997786,0.001828,0.063162,-0.117203,3.134221
2.686316,0.000913,0.000362,-0.000560,0.058658,0.031305,0.997785,0.001829,0.063161,-0.117210,3.134220
2.697087,0.000938,0.000366,-0.000592,0.058656,0.031306,0.997786,0.001836,0.063165,-0.117206,3.134206
2.697162,0.000960,0.000368,-0.000619,0.058652,0.031308,0.997786,0.001840,0.063168,-0.117197,3.134197
2.697972,0.000985,0.000369,-0.000654,0.058646,0.031307,0.997786,0.001840,0.063166,-0.117186,3.134197
2.700510,0.001006,0.000369,-0.000684,0.058641,0.031310,0.997786,0.001840,0.063172,-0.117176,3.134198
2.702311,0.001031,0.000370,-0.000722,0.058639,0.031305,0.997787,0.001837,0.063161,-0.117171,3.134204
2.736398,0.001080,0.000373,-0.000789,0.058646,0.031290,0.997787,0.001837,0.063132,-0.117186,3.134206
2.741166,0.000939,0.000333,-0.000635,0.058656,0.031300,0.997786,0.001862,0.063155,-0.117204,3.134154
2.753706,0.000955,0.000329,-0.000660,0.058659,0.031303,0.997785,0.001867,0.063162,-0.117209,3.134143
2.761066,0.000975,0.000324,-0.000690,0.058666,0.031308,0.997785,0.001868,0.063173,-0.117224,3.134140
2.773059,0.000874,0.000361,-0.000524,0.058680,0.031320,0.997784,0.001864,0.063196,-0.117252,3.134146
2.790869,0.000891,0.000360,-0.000543,0.058681,0.031315,0.997784,0.001865,0.063186,-0.117253,3.134144
2.811990,0.000923,0.000364,-0.000572,0.058680,0.031311,0.997784,0.001865,0.063177,-0.117252,3.134146
2.813457,0.000937,0.000368,-0.000585,0.058679,0.031315,0.997784,0.001859,0.063185,-0.117251,3.134156
